,City,Cloudiness,Country,Date,Humidity,Lattitude,Longitude,Maximum Temp,Wind Speed
0,punta arenas,75,CL,1548025200,54,-53.16,-70.91,53.6,9.17
1,tynda,32,RU,1548029047,64,55.15,124.74,-23.36,2.59
2,lebu,32,ET,1548029047,81,8.96,38.73,39.78,2.59
3,sao joao da barra,0,BR,1548029136,95,-21.64,-41.05,81.18,28.1
4,nanortalik,24,GL,1548029049,100,60.14,-45.24,23.72,30.11
5,mar del plata,0,AR,1548029049,43,-46.43,-67.52,70.07,24.29
6,orange park,1,US,1548027300,65,30.17,-81.71,48.92,11.41
7,rosarito,75,CO,1548025200,83,4.91,-75.23,78.8,3.36
8,chuy,0,UY,1548028823,86,-33.69,-53.46,66.65,10.42
9,labuhan,48,ID,1548029049,97,-2.54,115.51,75.65,2.15
10,rikitea,32,PF,1548029050,99,-23.12,-134.97,80.6,15.23
11,ponta do sol,8,BR,1548029050,81,-20.63,-46.0,71.73,2.71
12,lamar,1,US,1548024780,53,38.09,-102.62,50.0,5.82
13,bluff,0,AU,1548029050,58,-23.58,149.07,83.79,10.09
14,ushuaia,40,AR,1548025200,53,-54.81,-68.31,50.0,18.34
15,kavieng,88,PG,1548029051,100,-2.57,150.8,78.84,5.39
16,tasiilaq,76,GL,1548024600,62,65.61,-37.64,19.4,6.93
17,broken hill,0,AU,1548025200,30,-31.97,141.45,84.2,9.17
18,cidreira,88,BR,1548029052,100,-30.17,-50.22,69.66,9.31
19,port alfred,0,ZA,1548029053,80,-33.59,26.89,70.02,20.83
20,constitucion,5,MX,1548024120,9,23.99,-104.67,69.8,2.24
21,hermanus,0,ZA,1548029053,84,-34.42,19.24,52.52,2.71
22,kyabe,0,TD,1548029053,48,9.45,18.94,64.85,3.83
23,jamestown,12,AU,1548028967,54,-33.21,138.6,81.72,5.39
24,barrow,0,AR,1548029054,41,-38.31,-60.23,75.83,18.03
25,fairbanks,90,US,1548025080,83,64.84,-147.72,-2.93,2.71
26,luderitz,0,NA,1548029055,88,-26.65,15.16,58.41,1.14
27,nikolskoye,90,RU,1548027000,77,59.7,30.79,5.0,8.95
28,humaita,75,AR,1548025200,82,-24.93,-65.37,71.6,6.93
29,aginskoye,0,RU,1548029144,67,51.11,114.54,10.53,8.19
30,richards bay,88,ZA,1548029057,85,-28.77,32.06,66.96,1.81
31,hilo,1,US,1548024780,60,19.71,-155.08,80.06,12.75
32,kropotkin,36,RU,1548029058,80,45.43,40.58,28.58,2.93
33,broome,0,GB,1548026460,100,52.47,1.45,28.4,2.24
34,bandiagara,0,ML,1548029058,25,14.35,-3.61,55.62,9.98
35,kodino,68,RU,1548029058,74,63.72,39.64,0.23,4.38
36,carnarvon,0,ZA,1548029059,14,-30.97,22.13,50.18,3.27
37,mitsamiouli,68,KM,1548029059,98,-11.38,43.28,82.98,17.69
38,miri,0,NG,1548029060,60,10.31,9.75,59.9,2.15
39,kodiak,90,US,1548027300,61,39.95,-94.76,15.08,8.05
40,mackay,20,CA,1548025200,68,53.65,-115.58,33.8,3.36
41,vao,64,EE,1548029061,80,59.1,26.19,15.39,8.75
42,acapulco,90,MX,1548024240,74,16.86,-99.88,82.4,8.05
43,faya,0,SA,1548025200,87,18.39,42.45,53.6,2.71
44,vila velha,40,BR,1548025200,88,-3.71,-38.6,80.6,9.17
45,tuktoyaktuk,90,CA,1548025200,76,69.44,-133.03,-9.41,6.93
46,thompson,20,CA,1548025200,68,55.74,-97.86,-14.81,6.93
47,datong,0,CN,1548029070,53,40.09,113.3,-7.02,3.27
48,mataura,92,NZ,1548029070,97,-46.19,168.86,51.35,23.62
49,san clemente,1,US,1548028380,67,33.43,-117.61,71.96,5.82
50,genhe,56,CN,1548029074,67,50.78,121.52,0.05,5.95
51,upernavik,20,GL,1548029075,100,72.79,-56.15,-8.69,3.38
52,atuona,8,PF,1548029163,100,-9.8,-139.03,80.91,14.67
53,moerai,12,PF,1548029164,100,-22.43,-151.33,76.14,3.94
54,busselton,8,AU,1548029077,100,-33.64,115.35,66.6,12.77
55,new norfolk,0,AU,1548027000,30,-42.78,147.06,80.6,8.05
56,giyani,0,ZA,1548029080,60,-23.32,30.73,64.8,12.66
57,vaini,0,IN,1548028831,77,15.34,74.49,58.82,4.72
58,okhotsk,88,RU,1548029081,100,59.36,143.24,2.25,10.65
59,san jeronimo,76,PE,1548029081,68,-13.65,-73.37,52.88,0.36
60,sorland,8,NO,1548029081,100,67.67,12.69,35.28,3.83
61,rio grande,92,BR,1548028874,92,-32.03,-52.1,72.09,10.65
62,east london,0,ZA,1548029082,100,-33.02,27.91,71.28,25.52
63,cape town,0,ZA,1548025200,100,-33.93,18.42,62.6,1.12
64,batemans bay,44,AU,1548029082,84,-35.71,150.18,75.38,5.61
65,mayo,90,CA,1548025200,84,63.59,-135.9,-0.41,2.71
66,santa rosa,0,AR,1548029085,47,-36.62,-64.29,77.31,15.23
67,hobart,0,AU,1548027000,30,-42.88,147.33,80.6,8.05
68,sibolga,80,ID,1548029086,100,1.74,98.78,67.77,1.36
69,chokurdakh,0,RU,1548028831,0,70.62,147.9,-47.79,2.59
70,zhigansk,68,RU,1548028833,68,66.77,123.37,-15.26,8.19
71,talnakh,64,RU,1548028834,80,69.49,88.39,-8.55,7.96
72,cabo san lucas,5,MX,1548024060,34,22.89,-109.91,82.4,12.75
73,hovd,0,NO,1548024600,92,63.83,10.7,26.6,9.17
74,itoman,75,JP,1548027000,59,26.12,127.67,62.6,18.34
75,bambous virieux,75,MU,1548025200,83,-20.34,57.76,78.8,2.24
76,oyo,8,NG,1548029087,90,7.84,3.93,74.61,5.73
77,rovaniemi,0,FI,1548028200,91,66.5,25.72,3.2,4.7
78,dikson,56,RU,1548029087,87,73.51,80.55,2.34,13.67
79,airai,92,TL,1548029088,87,-8.93,125.41,74.93,0.92
80,avera,1,US,1548028500,53,33.19,-82.53,46.94,14.99
81,canavieiras,0,BR,1548029088,78,-15.68,-38.95,78.93,6.62
82,changji,44,CN,1548029088,80,32.07,116.17,24.98,3.94
83,antofagasta,20,CL,1548025200,68,-23.65,-70.4,68.0,16.11
84,mahebourg,75,MU,1548025200,83,-20.41,57.7,78.8,2.24
85,presidente epitacio,32,BR,1548028813,88,-21.76,-52.12,79.02,3.94
86,verkhoyansk,0,RU,1548028812,0,67.55,133.39,-57.87,2.59
87,sao miguel do araguaia,56,BR,1548029054,81,-13.28,-50.16,79.2,6.06
88,faanui,56,PF,1548029089,100,-16.48,-151.75,80.82,3.83
89,minab,0,IR,1548025200,50,27.15,57.07,51.8,6.93
90,abu samrah,80,SY,1548029090,88,35.3,37.18,35.87,6.73
91,araouane,0,ML,1548029091,39,18.9,-3.53,42.8,3.6
92,albany,75,US,1548028320,59,42.65,-73.75,6.8,21.92
93,pangnirtung,20,CA,1548029091,43,66.15,-65.72,-27.68,1.25
94,nanakuli,1,US,1548025020,64,21.39,-158.15,82.04,9.17
95,kaitangata,88,NZ,1548028835,93,-46.28,169.85,52.43,27.87
96,bethel,1,US,1548024960,81,60.79,-161.76,1.04,17.22
97,lermontovka,0,RU,1548029092,65,47.15,134.34,-8.82,6.96
98,menzelinsk,90,RU,1548027000,84,55.73,53.11,8.6,20.13
99,praia da vitoria,75,PT,1548025200,82,38.73,-27.07,62.6,19.71
100,solnechnyy,8,RU,1548029093,65,50.72,136.64,-14.76,2.26
101,srednekolymsk,68,RU,1548029093,41,67.46,153.71,-26.55,2.93
102,tiksi,48,RU,1548028832,61,71.64,128.87,-34.02,2.71
103,upata,88,VE,1548029094,52,8.02,-62.41,82.26,10.65
104,norman wells,75,CA,1548025200,76,65.28,-126.83,-4.01,5.82
105,severo-kurilsk,88,RU,1548029094,100,50.68,156.12,32.4,9.42
106,qaanaaq,0,GL,1548029095,100,77.48,-69.36,-18.41,8.86
107,vardo,1,US,1548028380,44,39.62,-77.74,24.8,25.28
108,thinadhoo,20,MV,1548029095,100,0.53,72.93,81.32,10.09
109,itarema,48,BR,1548029096,90,-2.92,-39.92,78.3,8.3
110,hualmay,64,PE,1548028925,75,-11.1,-77.61,71.73,4.05
111,tautira,90,PF,1548027000,74,-17.73,-149.15,84.2,16.11
112,gwembe,0,ZM,1548029097,92,-16.5,27.61,68.63,7.18
113,ushibuka,0,JP,1548029097,100,32.19,130.02,43.47,12.44
114,kushiro,20,JP,1548025200,62,43.11,144.15,19.4,9.17
115,hithadhoo,24,MV,1548028920,100,-0.6,73.08,82.35,9.86
116,millinocket,90,US,1548028380,83,45.66,-68.71,10.04,12.75
117,sioux lookout,5,CA,1548025200,68,50.1,-91.92,-13.01,3.27
118,khatanga,64,RU,1548028831,79,71.98,102.47,-18.09,4.83
119,half moon bay,90,US,1548028560,77,37.46,-122.43,57.92,9.17
